MetaTest/dissassemble-v1/NumTrajs,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/dissassemble-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/dissassemble-v1/SuccessRate,MetaTest/dissassemble-v1/AverageDiscountedReturn,MetaTest/dissassemble-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/dissassemble-v1/TerminationRate,MetaTest/dissassemble-v1/AverageReturn,MetaTest/dissassemble-v1/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/dissassemble-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss
10,464000,nan,10,-26.30606126382362,10,-23.30547840859535,2.0814122137346316,0.0,7.662225,0.0,-26.30606126382362,2.0814122137346316,69.34805,0.0,-26.30606126382362,10,6.12383,-28.99180425089186,0.0,-23.30547840859535,-28.99180425089186,-26.30606126382362,50.114235
10,488000,nan,10,-25.322824530977517,11,-21.865364991657593,2.171469179734463,0.0,7.6651416,0.0,-25.322824530977517,2.171469179734463,61.875027,0.0,-25.32282453097752,11,6.126391,-28.711197964575835,0.0,-21.865364991657593,-28.711197964575835,-25.32282453097752,52.054882
10,512000,nan,10,-26.1364919918663,12,-22.61057767320209,2.067046044255728,0.0,7.672603,0.0,-26.1364919918663,2.067046044255728,52.583366,0.0,-26.136491991866308,12,6.1258435,-29.421654025500768,0.0,-22.61057767320209,-29.421654025500768,-26.136491991866308,52.80067
10,536000,nan,10,-23.911259712900115,13,-21.072295120324874,1.4611109746566668,0.0,7.636387,0.0,-23.911259712900115,1.4611109746566668,48.007317,0.0,-23.911259712900115,13,6.124617,-25.922436969291837,0.0,-21.072295120324874,-25.922436969291837,-23.911259712900115,53.64523
10,560000,nan,10,-24.132080887576148,14,-19.45791853067921,3.147446197013861,0.0,7.638235,0.0,-24.132080887576148,3.147446197013861,42.101303,0.0,-24.13208088757615,14,6.1292114,-29.954926816625083,0.0,-19.45791853067921,-29.954926816625083,-24.13208088757615,53.416317
10,584000,nan,10,-25.215567536565036,15,-19.51716222231427,3.474950186193169,0.0,7.6502104,0.0,-25.215567536565036,3.474950186193169,35.77574,0.0,-25.215567536565032,15,6.1409483,-30.314354770990555,0.0,-19.51716222231427,-30.314354770990555,-25.215567536565032,52.938248
10,608000,nan,10,-23.965159241703343,16,-19.69930716640007,2.554214571155201,0.0,7.632682,0.0,-23.965159241703343,2.554214571155201,29.925676,0.0,-23.965159241703347,16,6.150176,-27.662414008466325,0.0,-19.69930716640007,-27.662414008466325,-23.965159241703347,52.733185
10,632000,nan,10,-24.845222246359302,17,-18.495134172274216,3.632701190889354,0.0,7.634916,0.0,-24.845222246359302,3.632701190889354,24.284246,0.0,-24.845222246359306,17,6.1594114,-29.0323228414705,0.0,-18.495134172274216,-29.0323228414705,-24.845222246359306,51.976418
10,656000,nan,10,-26.59686648897461,18,-22.816542186834138,2.687049896598508,0.0,7.632134,0.0,-26.59686648897461,2.687049896598508,19.405937,0.0,-26.59686648897461,18,6.1723633,-31.65479776938531,0.0,-22.816542186834138,-31.65479776938531,-26.59686648897461,51.205376
10,680000,nan,10,-22.811229987888737,19,-16.980242857110888,3.151841922792944,0.0,7.6290436,0.0,-22.811229987888737,3.151841922792944,13.786872,0.0,-22.811229987888733,19,6.183506,-28.403398357374787,0.0,-16.980242857110888,-28.403398357374787,-22.811229987888733,50.7665
10,704000,nan,10,-25.393212988512214,20,-18.88772047687616,3.320613546669251,0.0,7.625762,0.0,-25.393212988512214,3.320613546669251,9.055867,0.0,-25.393212988512207,20,6.194685,-30.429270526543203,0.0,-18.88772047687616,-30.429270526543203,-25.393212988512207,49.624016
10,728000,nan,10,-22.2446250277465,21,-14.894916415823893,4.2943327304638155,0.0,7.6298494,0.0,-22.2446250277465,4.2943327304638155,3.7258987,0.0,-22.2446250277465,21,6.205993,-29.026711218854565,0.0,-14.894916415823893,-29.026711218854565,-22.2446250277465,48.522842
10,752000,nan,10,-22.920983313608243,22,-16.571608798541344,3.687476210265806,0.0,7.6417294,0.0,-22.920983313608243,3.687476210265806,-1.0149344,0.0,-22.920983313608254,22,6.2157764,-28.61712732407888,0.0,-16.571608798541344,-28.61712732407888,-22.920983313608254,47.57082
10,776000,nan,10,-25.57810145920464,23,-18.267706000253426,4.413789729462295,0.0,7.6254826,0.0,-25.57810145920464,4.413789729462295,-5.074109,0.0,-25.578101459204646,23,6.2300615,-32.86879521379433,0.0,-18.267706000253426,-32.86879521379433,-25.578101459204646,46.614758
10,800000,nan,10,-26.448344449446672,24,-20.311630777624995,2.4111623652952154,0.0,7.62876,0.0,-26.448344449446672,2.4111623652952154,-8.447289,0.0,-26.448344449446676,24,6.2385907,-28.85866016119449,0.0,-20.311630777624995,-28.85866016119449,-26.448344449446676,45.84135
10,824000,nan,10,-25.851880232422104,25,-16.71758240176855,3.5625388635903104,0.0,7.6246486,0.0,-25.851880232422104,3.5625388635903104,-12.455259,0.0,-25.85188023242211,25,6.2446933,-30.010081474806093,0.0,-16.71758240176855,-30.010081474806093,-25.85188023242211,45.00856
10,848000,nan,10,-24.17836139654674,26,-19.52383394370351,3.962002416261022,0.0,7.624632,0.0,-24.17836139654674,3.962002416261022,-15.425943,0.0,-24.178361396546737,26,6.2510333,-30.412463365780958,0.0,-19.52383394370351,-30.412463365780958,-24.178361396546737,44.175274
10,872000,nan,10,-24.061630962604244,27,-16.31177151122634,3.8736207760770025,0.0,7.624632,0.0,-24.061630962604244,3.8736207760770025,-18.50042,0.0,-24.061630962604248,27,6.2571764,-29.39230218197157,0.0,-16.31177151122634,-29.39230218197157,-24.061630962604248,43.221493
10,896000,nan,10,-22.625472290386213,28,-18.22935120257046,3.136152813274981,0.0,7.624632,0.0,-22.625472290386213,3.136152813274981,-21.532328,0.0,-22.62547229038621,28,6.263611,-27.977490442037162,0.0,-18.22935120257046,-27.977490442037162,-22.62547229038621,42.563805
10,920000,nan,10,-24.748729686534354,29,-20.722310043251767,2.237955983057489,0.0,7.624632,0.0,-24.748729686534354,2.237955983057489,-24.704845,0.0,-24.748729686534354,29,6.265806,-28.65157131581354,0.0,-20.722310043251767,-28.65157131581354,-24.748729686534354,41.773117
10,944000,nan,10,-26.63435262552938,30,-20.90609844443906,3.0805835323438653,0.0,7.624632,0.0,-26.63435262552938,3.0805835323438653,-27.849295,0.0,-26.63435262552938,30,6.2751064,-30.033811596059138,0.0,-20.90609844443906,-30.033811596059138,-26.63435262552938,40.682316
10,968000,nan,10,-23.392716607913954,31,-19.680142308123507,2.458641530601028,0.0,7.624632,0.0,-23.392716607913954,2.458641530601028,-30.22371,0.0,-23.39271660791395,31,6.2814384,-27.183950185523432,0.0,-19.680142308123507,-27.183950185523432,-23.39271660791395,40.287624
10,992000,nan,10,-23.750792260029193,32,-21.271270630727262,1.5079029035892837,0.0,7.624632,0.0,-23.750792260029193,1.5079029035892837,-33.187454,0.0,-23.750792260029193,32,6.2878847,-26.719749450455225,0.0,-21.271270630727262,-26.719749450455225,-23.750792260029193,39.397522
10,1016000,nan,10,-24.572742979155343,33,-20.251548928669667,3.1108530408243085,0.0,7.624632,0.0,-24.572742979155343,3.1108530408243085,-35.64919,0.0,-24.572742979155358,33,6.2927475,-29.694811170346266,0.0,-20.251548928669667,-29.694811170346266,-24.572742979155358,38.804733
10,1040000,nan,10,-23.62035269735306,34,-21.375668973853685,1.657138275636094,0.0,7.624632,0.0,-23.62035269735306,1.657138275636094,-37.96272,0.0,-23.620352697353063,34,6.30025,-26.06903670082569,0.0,-21.375668973853685,-26.06903670082569,-23.620352697353063,38.356407
10,1064000,nan,10,-27.423608301152438,35,-20.973060565379537,2.5855967765485564,0.0,7.624632,0.0,-27.423608301152438,2.5855967765485564,-40.40264,0.0,-27.423608301152445,35,6.3054514,-30.187507030940605,0.0,-20.973060565379537,-30.187507030940605,-27.423608301152445,37.683975
10,1088000,nan,10,-22.702871807489892,36,-19.19429249426792,2.6788616246782224,0.0,7.624632,0.0,-22.702871807489892,2.6788616246782224,-42.719555,0.0,-22.70287180748989,36,6.3113146,-27.469256950538938,0.0,-19.19429249426792,-27.469256950538938,-22.70287180748989,37.266327
10,1112000,nan,10,-24.300784775479016,37,-21.8393268390498,1.3189720019544209,0.0,7.624632,0.0,-24.300784775479016,1.3189720019544209,-45.833057,0.0,-24.300784775479013,37,6.3154483,-26.433758624293958,0.0,-21.8393268390498,-26.433758624293958,-24.300784775479013,36.43043
10,1136000,nan,10,-22.54111905750676,38,-20.83171201303212,1.6296869619970655,0.0,7.624632,0.0,-22.54111905750676,1.6296869619970655,-47.664513,0.0,-22.54111905750675,38,6.324046,-25.253884406913564,0.0,-20.83171201303212,-25.253884406913564,-22.54111905750675,35.789883
10,1160000,nan,10,-23.449266261245235,39,-19.022711976144084,2.154443270503401,0.0,7.624632,0.0,-23.449266261245235,2.154443270503401,-49.516975,0.0,-23.449266261245228,39,6.330435,-25.77849666529424,0.0,-19.022711976144084,-25.77849666529424,-23.449266261245228,35.271908
10,1184000,nan,10,-24.17833037428459,40,-20.990632444971038,1.7882384705542647,0.0,7.624632,0.0,-24.17833037428459,1.7882384705542647,-51.365726,0.0,-24.17833037428459,40,6.3316913,-26.320568077150032,0.0,-20.990632444971038,-26.320568077150032,-24.17833037428459,34.724075
10,1208000,nan,10,-23.914006627965616,41,-20.774724677820643,1.9103949016804584,0.0,7.624632,0.0,-23.914006627965616,1.9103949016804584,-53.536243,0.0,-23.914006627965612,41,6.3403077,-26.59735498545224,0.0,-20.774724677820643,-26.59735498545224,-23.914006627965612,34.24093
10,1232000,nan,10,-23.02908782769657,42,-20.424825654175105,2.366249367996595,0.0,7.624632,0.0,-23.02908782769657,2.366249367996595,-54.996616,0.0,-23.02908782769657,42,6.3414445,-28.765174690031056,0.0,-20.424825654175105,-28.765174690031056,-23.02908782769657,33.70727
10,1256000,nan,10,-23.637458749937476,43,-21.236933987821185,2.0525443497800655,0.0,7.624632,0.0,-23.637458749937476,2.0525443497800655,-56.75425,0.0,-23.637458749937483,43,6.345611,-27.24554573001035,0.0,-21.236933987821185,-27.24554573001035,-23.637458749937483,33.373665
10,1280000,nan,10,-23.896533440393736,44,-21.070151693449926,1.9128439493040468,0.0,7.624632,0.0,-23.896533440393736,1.9128439493040468,-58.10403,0.0,-23.89653344039374,44,6.3505526,-26.771335370421962,0.0,-21.070151693449926,-26.771335370421962,-23.89653344039374,32.930634
10,1304000,nan,10,-23.49654213956392,45,-20.87415353411131,2.398645562506335,0.0,7.624632,0.0,-23.49654213956392,2.398645562506335,-59.66046,0.0,-23.496542139563914,45,6.3532987,-27.968356412698522,0.0,-20.87415353411131,-27.968356412698522,-23.496542139563914,32.545094
10,1328000,nan,10,-22.769399892055212,46,-19.621760701092235,1.928274036242499,0.0,7.624632,0.0,-22.769399892055212,1.928274036242499,-61.042595,0.0,-22.769399892055212,46,6.354335,-25.270771397072775,0.0,-19.621760701092235,-25.270771397072775,-22.769399892055212,32.22763
10,1352000,nan,10,-21.880069511481146,47,-20.50720777942808,1.498055188824976,0.0,7.624632,0.0,-21.880069511481146,1.498055188824976,-62.358116,0.0,-21.880069511481146,47,6.359468,-25.322679668950123,0.0,-20.50720777942808,-25.322679668950123,-21.880069511481146,31.958384
10,1376000,nan,10,-23.355246587566064,48,-20.704656242285452,1.6784127027889963,0.0,7.624632,0.0,-23.355246587566064,1.6784127027889963,-63.699863,0.0,-23.35524658756605,48,6.3644443,-25.77155594065647,0.0,-20.704656242285452,-25.77155594065647,-23.35524658756605,31.538916
10,1400000,nan,10,-24.017121363846233,49,-22.10175752797254,0.9116508095271928,0.0,7.624632,0.0,-24.017121363846233,0.9116508095271928,-65.28069,0.0,-24.01712136384623,49,6.3642325,-25.77364190294534,0.0,-22.10175752797254,-25.77364190294534,-24.01712136384623,31.269554
10,1424000,nan,10,-24.682732485153203,50,-22.059950242514482,1.8034898036646065,0.0,7.624632,0.0,-24.682732485153203,1.8034898036646065,-66.38699,0.0,-24.682732485153203,50,6.3684893,-28.62738330008103,0.0,-22.059950242514482,-28.62738330008103,-24.682732485153203,30.86428
10,1448000,nan,10,-25.15583286477962,51,-22.191201210295688,2.4861592253402742,0.0,7.624632,0.0,-25.15583286477962,2.4861592253402742,-67.95889,0.0,-25.15583286477962,51,6.376607,-28.50623682065562,0.0,-22.191201210295688,-28.50623682065562,-25.15583286477962,30.530205
10,1472000,nan,10,-24.34726736884675,52,-21.15497194213483,2.217766813236228,0.0,7.624632,0.0,-24.34726736884675,2.217766813236228,-69.58591,0.0,-24.34726736884675,52,6.380724,-28.32789539307271,0.0,-21.15497194213483,-28.32789539307271,-24.34726736884675,30.038637
10,1496000,nan,10,-22.464960484393202,53,-21.1800134032791,1.2796253828933841,0.0,7.624632,0.0,-22.464960484393202,1.2796253828933841,-70.818436,0.0,-22.46496048439321,53,6.383493,-25.833432497399986,0.0,-21.1800134032791,-25.833432497399986,-22.46496048439321,29.775614
10,1520000,nan,10,-22.673580738085036,54,-20.794488845989704,1.8987335815087403,0.0,7.624632,0.0,-22.673580738085036,1.8987335815087403,-71.68032,0.0,-22.673580738085032,54,6.3853135,-25.737066436209876,0.0,-20.794488845989704,-25.737066436209876,-22.673580738085032,29.480188
10,1544000,nan,10,-23.840474379135063,55,-22.147242330636935,1.1080059309437007,0.0,7.624632,0.0,-23.840474379135063,1.1080059309437007,-72.98839,0.0,-23.84047437913506,55,6.3929744,-25.382875226051816,0.0,-22.147242330636935,-25.382875226051816,-23.84047437913506,29.150639
10,1568000,nan,10,-22.597705326390674,56,-20.02238323520312,2.069803628876811,0.0,7.624632,0.0,-22.597705326390674,2.069803628876811,-74.11929,0.0,-22.597705326390674,56,6.39561,-25.844938585811914,0.0,-20.02238323520312,-25.844938585811914,-22.597705326390674,28.87462
10,1592000,nan,10,-23.628039318883083,57,-21.594937595859495,1.8030527971584145,0.0,7.624632,0.0,-23.628039318883083,1.8030527971584145,-75.190475,0.0,-23.628039318883083,57,6.398325,-28.32303207923355,0.0,-21.594937595859495,-28.32303207923355,-23.628039318883083,28.498907
10,1616000,nan,10,-23.82279483313971,58,-20.644189015667365,2.4897901871147687,0.0,7.624632,0.0,-23.82279483313971,2.4897901871147687,-76.452484,0.0,-23.822794833139714,58,6.3996134,-27.999350147946092,0.0,-20.644189015667365,-27.999350147946092,-23.822794833139714,28.324638
10,1640000,nan,10,-21.83709237227078,59,-19.041369334410664,1.6568512052647717,0.0,7.624632,0.0,-21.83709237227078,1.6568512052647717,-77.66186,0.0,-21.83709237227078,59,6.405913,-24.079601631386804,0.0,-19.041369334410664,-24.079601631386804,-21.83709237227078,27.903793
10,1664000,nan,10,-23.300067245933064,60,-19.874061745423123,2.269763149781742,0.0,7.624632,0.0,-23.300067245933064,2.269763149781742,-78.70359,0.0,-23.30006724593306,60,6.4089923,-27.338522470201056,0.0,-19.874061745423123,-27.338522470201056,-23.30006724593306,27.630371
10,1688000,nan,10,-23.288664030043773,61,-19.465922984808195,2.1572892557799666,0.0,7.624632,0.0,-23.288664030043773,2.1572892557799666,-79.757,0.0,-23.28866403004377,61,6.4108167,-26.82064053365474,0.0,-19.465922984808195,-26.82064053365474,-23.28866403004377,27.340052
10,1712000,nan,10,-24.147451010254546,62,-21.167228422665204,1.2730165699892564,0.0,7.624632,0.0,-24.147451010254546,1.2730165699892564,-80.61242,0.0,-24.147451010254542,62,6.41294,-26.11760733828255,0.0,-21.167228422665204,-26.11760733828255,-24.147451010254542,27.233446
10,1736000,nan,10,-24.37308205944304,63,-22.15782394685447,1.8245188614672478,0.0,7.624632,0.0,-24.37308205944304,1.8245188614672478,-81.83493,0.0,-24.37308205944304,63,6.4172573,-28.120349947225066,0.0,-22.15782394685447,-28.120349947225066,-24.37308205944304,26.860054
10,1760000,nan,10,-21.7543346757685,64,-20.740458989217323,0.6330281892113434,0.0,7.624632,0.0,-21.7543346757685,0.6330281892113434,-82.64106,0.0,-21.754334675768497,64,6.4157434,-22.765877269229325,0.0,-20.740458989217323,-22.765877269229325,-21.754334675768497,26.572332
10,1784000,nan,10,-22.941667797147886,65,-20.870904355927582,1.7703544982401298,0.0,7.624632,0.0,-22.941667797147886,1.7703544982401298,-83.54413,0.0,-22.941667797147883,65,6.4217873,-25.956822823843034,0.0,-20.870904355927582,-25.956822823843034,-22.941667797147883,26.329456
10,1808000,nan,10,-23.104096862337816,66,-19.881169681280337,1.8237732427216031,0.0,7.624632,0.0,-23.104096862337816,1.8237732427216031,-84.4046,0.0,-23.104096862337816,66,6.4238896,-25.448466365000606,0.0,-19.881169681280337,-25.448466365000606,-23.104096862337816,26.206585
10,1832000,nan,10,-22.91152661477012,67,-20.191793932419593,1.7073632039288924,0.0,7.624632,0.0,-22.91152661477012,1.7073632039288924,-85.24808,0.0,-22.911526614770118,67,6.425776,-25.32579628354667,0.0,-20.191793932419593,-25.32579628354667,-22.911526614770118,25.99519
10,1856000,nan,10,-23.319007304817543,68,-19.83443028175737,1.6267084981029734,0.0,7.624632,0.0,-23.319007304817543,1.6267084981029734,-85.8382,0.0,-23.319007304817546,68,6.426238,-25.552963621784745,0.0,-19.83443028175737,-25.552963621784745,-23.319007304817546,25.739119
10,1880000,nan,10,-22.154039858428877,69,-17.710738593879597,2.3636733836494224,0.0,7.624632,0.0,-22.154039858428877,2.3636733836494224,-86.752205,0.0,-22.154039858428874,69,6.430188,-25.203184971375283,0.0,-17.710738593879597,-25.203184971375283,-22.154039858428874,25.6277
10,1904000,nan,10,-22.805178055187078,70,-19.479101594538864,2.5470779654246845,0.0,7.624632,0.0,-22.805178055187078,2.5470779654246845,-87.546326,0.0,-22.805178055187078,70,6.4314423,-27.38635007520036,0.0,-19.479101594538864,-27.38635007520036,-22.805178055187078,25.360256
10,1928000,nan,10,-21.447678411693484,71,-19.601645947785148,1.6461927278927806,0.0,7.624632,0.0,-21.447678411693484,1.6461927278927806,-88.10437,0.0,-21.44767841169349,71,6.4345956,-25.098356890809573,0.0,-19.601645947785148,-25.098356890809573,-21.44767841169349,25.328867
10,1952000,nan,10,-21.7823259484886,72,-18.195441752465964,1.6934860970224586,0.0,7.624632,0.0,-21.7823259484886,1.6934860970224586,-88.832855,0.0,-21.7823259484886,72,6.4366603,-24.04086307733194,0.0,-18.195441752465964,-24.04086307733194,-21.7823259484886,25.178066
10,1976000,nan,10,-21.611867708155625,73,-19.398219380714355,1.8777850768854778,0.0,7.624632,0.0,-21.611867708155625,1.8777850768854778,-89.53517,0.0,-21.611867708155625,73,6.433651,-25.715858232965616,0.0,-19.398219380714355,-25.715858232965616,-21.611867708155625,25.043844
10,2000000,nan,10,-22.244394961384373,74,-19.68073261837977,2.3592700039962207,0.0,7.624632,0.0,-22.244394961384373,2.3592700039962207,-90.31362,0.0,-22.244394961384366,74,6.4387326,-26.4334119161981,0.0,-19.68073261837977,-26.4334119161981,-22.244394961384366,24.794031
10,2024000,nan,10,-23.20499793225068,75,-20.790814921300917,1.161794583494641,0.0,7.624632,0.0,-23.20499793225068,1.161794583494641,-90.932335,0.0,-23.204997932250688,75,6.4375243,-25.505875138997933,0.0,-20.790814921300917,-25.505875138997933,-23.204997932250688,24.603992
10,2048000,nan,10,-23.726586363258047,76,-20.000288365035377,2.325365859664612,0.0,7.624632,0.0,-23.726586363258047,2.325365859664612,-91.66013,0.0,-23.726586363258047,76,6.440629,-27.161209425806373,0.0,-20.000288365035377,-27.161209425806373,-23.726586363258047,24.304043
10,2072000,nan,10,-22.845853319867313,77,-20.527657438822178,1.752102116993857,0.0,7.624632,0.0,-22.845853319867313,1.752102116993857,-92.379486,0.0,-22.845853319867317,77,6.443005,-25.743845402067713,0.0,-20.527657438822178,-25.743845402067713,-22.845853319867317,24.162788
10,2096000,nan,10,-22.25802262345115,78,-18.903593189490923,2.1092585901893064,0.0,7.624632,0.0,-22.25802262345115,2.1092585901893064,-93.02959,0.0,-22.258022623451147,78,6.4443974,-25.24407039037558,0.0,-18.903593189490923,-25.24407039037558,-22.258022623451147,24.064133
10,2120000,nan,10,-23.72782047249916,79,-20.850001344109444,1.7251865833201148,0.0,7.624632,0.0,-23.72782047249916,1.7251865833201148,-93.53526,0.0,-23.72782047249916,79,6.447109,-26.43103822842167,0.0,-20.850001344109444,-26.43103822842167,-23.72782047249916,23.839853
10,2144000,nan,10,-23.20102276869671,80,-19.324995018949767,2.1894396167484054,0.0,7.624632,0.0,-23.20102276869671,2.1894396167484054,-94.16454,0.0,-23.201022768696713,80,6.4494057,-26.67752245469715,0.0,-19.324995018949767,-26.67752245469715,-23.201022768696713,23.875618
10,2168000,nan,10,-21.191183870391214,81,-19.82718072887133,1.1362737360424915,0.0,7.624632,0.0,-21.191183870391214,1.1362737360424915,-94.720795,0.0,-21.191183870391207,81,6.450883,-22.864355448317387,0.0,-19.82718072887133,-22.864355448317387,-21.191183870391207,23.635912
10,2192000,nan,10,-21.689231983838987,82,-18.494483635689996,2.0457557530331476,0.0,7.624632,0.0,-21.689231983838987,2.0457557530331476,-95.319626,0.0,-21.68923198383899,82,6.4522176,-25.4177700760864,0.0,-18.494483635689996,-25.4177700760864,-21.68923198383899,23.504074
10,2216000,nan,10,-23.010454361830256,83,-19.011670226551256,2.12314930043567,0.0,7.624632,0.0,-23.010454361830256,2.12314930043567,-95.92282,0.0,-23.010454361830263,83,6.4529634,-25.97059302878311,0.0,-19.011670226551256,-25.97059302878311,-23.010454361830263,23.525463
10,2240000,nan,10,-23.045687485373772,84,-19.00949905998066,1.8168263311622292,0.0,7.624632,0.0,-23.045687485373772,1.8168263311622292,-96.485405,0.0,-23.045687485373776,84,6.4531994,-25.784774259762532,0.0,-19.00949905998066,-25.784774259762532,-23.045687485373776,23.377632
10,2264000,nan,10,-22.83400034143218,85,-18.93640264980693,2.1791875357356902,0.0,7.624632,0.0,-22.83400034143218,2.1791875357356902,-97.10483,0.0,-22.83400034143218,85,6.4536242,-26.453848751818597,0.0,-18.93640264980693,-26.453848751818597,-22.83400034143218,23.290445
10,2288000,nan,10,-22.081572401113164,86,-19.12381848755931,2.2296189026015942,0.0,7.624632,0.0,-22.081572401113164,2.2296189026015942,-97.54333,0.0,-22.081572401113156,86,6.4543033,-26.42394711557221,0.0,-19.12381848755931,-26.42394711557221,-22.081572401113156,23.102617
10,2312000,nan,10,-23.30121861390439,87,-21.275110159901597,1.1653181875887286,0.0,7.624632,0.0,-23.30121861390439,1.1653181875887286,-98.16386,0.0,-23.30121861390439,87,6.4565225,-25.00608293065292,0.0,-21.275110159901597,-25.00608293065292,-23.30121861390439,23.09518
10,2336000,nan,10,-24.574517936638934,88,-21.760557448850932,2.099911057553365,0.0,7.624632,0.0,-24.574517936638934,2.099911057553365,-98.503426,0.0,-24.57451793663893,88,6.457232,-27.399801253298147,0.0,-21.760557448850932,-27.399801253298147,-24.57451793663893,22.926262
10,2360000,nan,10,-22.73881360131458,89,-18.734368240881825,2.735799800386291,0.0,7.624632,0.0,-22.73881360131458,2.735799800386291,-99.02776,0.0,-22.73881360131458,89,6.4581437,-26.23704576687027,0.0,-18.734368240881825,-26.23704576687027,-22.73881360131458,22.79338
10,2384000,nan,10,-22.477009577749115,90,-19.387523902401266,2.4376035145768458,0.0,7.624632,0.0,-22.477009577749115,2.4376035145768458,-99.541725,0.0,-22.47700957774912,90,6.458722,-26.47783710957785,0.0,-19.387523902401266,-26.47783710957785,-22.47700957774912,22.644913
10,2408000,nan,10,-21.972205868098737,91,-18.624272879036717,2.071401403779136,0.0,7.624632,0.0,-21.972205868098737,2.071401403779136,-100.06119,0.0,-21.972205868098744,91,6.4619617,-24.965223522727555,0.0,-18.624272879036717,-24.965223522727555,-21.972205868098744,22.586266
